key,en,jp,ch,tc,ru,sp,latam,gr,pl,it,tr,fr,br,pr,kr,hu
death_plague_name,Death Plague,死の疫病,死亡瘟疫,死亡瘟疫,Смертельная чума,Plaga de la muerte,Plaga de la muerte,Todes Plage,Plaga Śmierci,Peste Nera,Death Plague,Peste mortelle,Praga da Morte,Praga da Morte,Death Plague,Halál Pestis/Pestis
death_plague_description,Enemies killed by <color=#f5d6c1>Curse</color> will spread <color=#f5d6c1>Curse</color> to nearby enemies.,<color=#f5d6c1>呪い</color>で倒された敵は周囲の敵に<color=#f5d6c1>呪い</color>を伝搬する。,当敌人死于<color=#f5d6c1>诅咒</color>，则会将<color=#f5d6c1>诅咒</color>扩散给附件的敌人。,當敵人死於<color=#f5d6c1>詛咒</color>，則會將<color=#f5d6c1>詛咒</color>擴散給附件的敵人。,Враги убитые <color=#f5d6c1>Проклятьем</color> раздают <color=#f5d6c1>Проклятье</color> ближайшим врагам.,Los enemigos asesinados por <color=#f5d6c1>Maldición</color> propagarán <color=#f5d6c1>Maldición</color> a los enemigos cercanos.,Los enemigos asesinados por <color=#f5d6c1>Maldición</color> propagarán <color=#f5d6c1>Maldición</color> a los enemigos cercanos.,Gegner die vom <color=#f5d6c1>Fluch</color> umgebracht wurden verteilen es weiter zu nahe Gegner.,Przeciwnicy zabici przez <color=#f5d6c1>Klątwę</color> przekażą ją pobliskim przeciwnikom.,I nemici uccisi da un <color=#f5d6c1>Anatema</color> lo trasmettono ai nemici vicini.,Enemies killed by <color=#f5d6c1>Curse</color> will spread <color=#f5d6c1>Curse</color> to nearby enemies.,Les ennemis tués par la <color=#f5d6c1>Malédiction</color> propageront plus de <color=#f5d6c1>Malédiction</color> aux ennemis proches.,Inimigos abatidos pelo <color=#f5d6c1>Golpear</color> irão disseminar a <color=#f5d6c1>Maldição</color> para inimigos próximos.,Inimigos abatidos pelo <color=#f5d6c1>Golpear</color> irão disseminar a <color=#f5d6c1>Maldição</color> para inimigos próximos.,Enemies killed by <color=#f5d6c1>Curse</color> will spread <color=#f5d6c1>Curse</color> to nearby enemies.,Ellenfelek akik <color=#f5d6c1>Átok</color> miatt halnak meg átadják az <color=#f5d6c1>Átkukat</color> közeli ellenfelekre.
kunoichi_name,Kunoichi,くノ一,女忍,女忍,Куноичи,Kunoichi,Kunoichi,Kunoichi,Kunoichi,Kunoichi,Kunoichi,Kunoichi,Kunoichi,Kunoichi,Kunoichi,Kunoichi
kunoichi_description,Increase Fire Rate by <color=#f5d6c1>10%</color> and Piercing by <color=#f5d6c1>+1</color> every 10 seconds. This bonus is reset upon getting hit.,10秒ごとに発射速度<color=#f5d6c1>10%</color>および貫通<color=#f5d6c1>+1</color>増加。このボーナスは被弾時にリセットされる。,每10秒，增加<color=#f5d6c1>10%</color>射速，增加<color=#f5d6c1>1</color>穿透。该收益会在受伤后重置。,每10秒，增加<color=#f5d6c1>10%</color>射速，增加<color=#f5d6c1>1</color>穿透。該收益會在受傷後重置。,Увеличивает скорострельность на <color=#f5d6c1>10%</color> и Пронзание на <color=#f5d6c1>+1</color> каждые 10 сек.. Сбрасывается при получении урона.,Aumenta la Cadencia de Disparo en un <color=#f5d6c1>10%</color> y la Penetración en <color=#f5d6c1>+1</color> cada 10 segundos. Este bonus se reinicia al recibir un golpe.,Aumenta la Cadencia de Disparo en un <color=#f5d6c1>10%</color> y la Penetración en <color=#f5d6c1>+1</color> cada 10 segundos. Este bonus se reinicia al recibir un golpe.,"Erhöhe die Feuerrate um <color=#f5d6c1>10%</color> und Durchdringung um <color=#f5d6c1>+1</color> jede 10 sekunden. Dieser Bonus wird zurückgesetzt, wenn du getroffen wirst.",Zwiększ Szybkostrzelność o <color=#f5d6c1>10%</color> i Penetrację o <color=#f5d6c1>+1</color> co 10 sekund. Ten bonus resetuje się po trafieniu.,Aumenta il Rateo di Fuoco del <color=#f5d6c1>10%</color> e la Penetrazione di <color=#f5d6c1>1</color> pgni 10 secondi. Questo bonus è resettato se vieni colpito.,Increase Fire Rate by <color=#f5d6c1>10%</color> and Piercing by <color=#f5d6c1>+1</color> every 10 seconds. This bonus is reset upon getting hit.,Augmente la cadence de tir de <color=#f5d6c1>10%</color> et la perforation de <color=#f5d6c1>+1</color> toutes les 10 secondes. Ce bonus est réinitialisé après avoir subit des dégats.,Aumenta a Taxa de Disparo em <color=#f5d6c1>10%</color> e a Perfuração em <color=#f5d6c1>+1</color> a cada 10 segundos. Este bônus é reiniciado ao ser atingido.,Aumenta a Taxa de Disparo em <color=#f5d6c1>10%</color> e a Perfuração em <color=#f5d6c1>+1</color> a cada 10 segundos. Este bônus é reiniciado ao ser atingido.,Increase Fire Rate by <color=#f5d6c1>10%</color> and Piercing by <color=#f5d6c1>+1</color> every 10 seconds. This bonus is reset upon getting hit.,"A Lövési Sebesség megnövekedik <color=#f5d6c1>10%</color>-al, és az Átütés <color=#f5d6c1>+1</color>-el 10 másodpercenként. Ez a bónusz újraindul ha eltalálnak."
generator_name,Generator,ダイナモ,士气大振,士氣大振,Генератор,Generador,Generador,Generator,Generator,Duplicatore,Generator,Générateur,Gerador,Gerador,Generator,Generátor
generator_description,"When you gain ammo, also gain <color=#f5d6c1>35%</color> Fire Rate for <color=#f5d6c1>2</color> seconds.",能力で弾が補充された時、<color=#f5d6c1>2</color>秒間発射速度も<color=#f5d6c1>35%</color>増加。,当你获得子弹时，增加<color=#f5d6c1>35%</color>射速，持续<color=#f5d6c1>2</color>秒。,當你獲得子彈時，增加<color=#f5d6c1>35%</color>射速，持續<color=#f5d6c1>2</color>秒。,"При получении патронов, также получаете <color=#f5d6c1>35%</color> скорострельности на <color=#f5d6c1>2</color> секунды.","Cuando obtienes munición, también ganas <color=#f5d6c1>35%</color> de Cadencia de Disparo durante <color=#f5d6c1>2</color> segundos.","Cuando obtienes munición, también ganas <color=#f5d6c1>35%</color> de Cadencia de Disparo durante <color=#f5d6c1>2</color> segundos.","Wenn du Munnition bekommst, bekommst du auch <color=#f5d6c1>35%</color> Feuerrate für <color=#f5d6c1>2</color> Sekunden.","Kiedy zyskujesz amunicję, zyskaj również <color=#f5d6c1>+35%</color> Szybkostrzelności na <color=#f5d6c1>2</color> sekundy.","Quando guadagni munizioni, aumenta del <color=#f5d6c1>35%</color> il tuo Rateo di Fuoco per <color=#f5d6c1>2</color> secondi.","When you gain ammo, also gain <color=#f5d6c1>35%</color> Fire Rate for <color=#f5d6c1>2</color> seconds.","Lorsque vous gagnez des munitions, gagnez également <color=#f5d6c1>35%</color> de vitesse de tir pendant <color=#f5d6c1>2</color> secondes.","Quando você ganhar munição, também ganhe <color=#f5d6c1>35%</color> da Taxa de Disparo por <color=#f5d6c1>2</color> segundos.","Quando você ganhar munição, também ganhe <color=#f5d6c1>35%</color> da Taxa de Disparo por <color=#f5d6c1>2</color> segundos.","When you gain ammo, also gain <color=#f5d6c1>35%</color> Fire Rate for <color=#f5d6c1>2</color> seconds.","Amikor lőszert kapsz, a Tüzelési Gyorsaságod megnövekedik <color=#f5d6c1>35%</color>-al <color=#f5d6c1>2</color> 2 másodpercig."
hastur_name,Hastur,ハスター,哈斯塔,哈斯塔,Хастур,Hastur,Hastur,Hastur,Hastur,Hastur,Hastur,Hastur,Hastur,Hastur,하스타,Hastur
hastur_description,Periodically summon a Tentacle that attacks enemies for 30 damage.,一定時間ごとに30ダメージの攻撃を繰り出す触手を召喚する。,周期性地召唤一条触手攻击敌人，造成 30 点伤害。,週期性地召喚一條觸手攻擊敵人，造成 30 點傷害。,"Периодически призывает щупальце, которое атакует врагов и наносит им 30 урона.",Invoca periódicamente un Tentáculo que hace 30 de daño a los enemigos,Invoca periódicamente un Tentáculo que hace 30 de daño a los enemigos,"Beschwöre regelmäßig Tentakeln, die Gegnern für 30 Schaden angreifen","Co jakiś czas przywołuje Mackę, która atakuje przeciwników zadając 30 obrażeń.",Evoca periodicamente un Tentacolo che attacca i nemici infliggendo 30 danni,Devamlı düşmanlara 30 Hasar veren dokunaçlar çağırırsın.,Invoquez périodiquement un Tentacule qui attaque les ennemis pour 30 points de dégâts.,"Conjura periodicamente um Tentáculo que ataca os inimigos, causando 30 de dano.","Conjura periodicamente um Tentáculo que ataca os inimigos, causando 30 de dano.",주기적으로 촉수를 불러 적을 공격하여 30 피해를 입힌다.,Időnként idézz meg egy Csápot ami 30-at sebez.
hastur_perk_abyssal_call_name,Hastur: Call of the Abyss,ハスター：混沌招来,哈斯塔：深渊呼唤,哈斯塔：深淵呼喚,Хастур: Зов бездны,Hastur: Llamada del Abismo,Hastur: Llamada del Abismo,Hastur: Ruf des Abgrunds,Hastur: Zew Nicości,Hastur: Chiamata dell'Abisso,Hastur: Karanlığın Çağırısı,Hastur : Appel des Abysses,Hastur: O Chamado do Abismo,Hastur: O Chamado do Abismo,하스타: 나락의 외침,Hastur: Hívogató Mélység
hastur_perk_abyssal_call_description,Summon <color=#f5d6c1>Tentacles</color>  twice as often.,<color=#f5d6c1>触手</color>を召喚する頻度が2倍になる。,召唤<color=#f5d6c1>触手</color>数量是原来的 2倍,召喚<color=#f5d6c1>觸手</color>數量是原來的 2倍,Призывает <color=#f5d6c1>Щупальца</color> в два раза чаще.,Invoca <color=#f5d6c1>Tentáculos</color> el doble de veces.,Invoca <color=#f5d6c1>Tentáculos</color> el doble de veces.,Beschwöre<color=#f5d6c1>Tentakeln</color>  doppelt so schnell.,Przywołuje <color=#f5d6c1>Macki</color> dwa razy częściej.,Evoca <color=#f5d6c1>Tentacoli</color> due volte più spesso.,Dokunaçları iki kat hızlı çağırırsın.,Invoquez des <color=#f5d6c1>Tentacules</color> deux fois plus souvent.,Conjura <color=#f5d6c1>Tentáculos</color>  com o dobro de frequência.,Conjura <color=#f5d6c1>Tentáculos</color>  com o dobro de frequência.,<color=#f5d6c1>촉수</color>수량은 원래의 2배,Kétszer több <color=#f5d6c1>Csápot</color> idézel.
hastur_perk_smash_name,Hastur: Smash,ハスター：強打,哈斯塔：粉碎重击,哈斯塔：粉碎重擊,Хастур: Разгром,Hastur: Aplastar,Hastur: Aplastar,Hastur: Zerschlagen,Hastur: Zmiażdżenie,Hastur: Spacca!,Hastur: Paramparça,Hastur : écraser,Hastur: Esmagar,Hastur: Esmagar,하스타: 파쇄 펀치,Hastur: Zúzás
hastur_perk_smash_description,Hastur's <color=#f5d6c1>Tentacles</color> deal <color=#f5d6c1>30</color> more damage.,ハスターの<color=#f5d6c1>触手</color>は追加で<color=#f5d6c1>30</color>ダメージを与える。,哈斯塔<color=#f5d6c1>触手</color>造成<color=#f5d6c1>30</color>点额外伤害。,哈斯塔<color=#f5d6c1>觸手</color>造成<color=#f5d6c1>30</color>點額外傷害。,<color=#f5d6c1>Щупальца</color> Хастур наносят на <color=#f5d6c1>30</color> больше урона.,Los <color=#f5d6c1>Tentáculos</color> de Hastur infligen <color=#f5d6c1>30</color> de daño extra.,Los <color=#f5d6c1>Tentáculos</color> de Hastur infligen <color=#f5d6c1>30</color> de daño extra.,Hastur's <color=#f5d6c1>Tentakeln</color> verursachen<color=#f5d6c1>30</color> mehr Schaden.,<color=#f5d6c1>Macki</color> Hastura zadają <color=#f5d6c1>30</color> obrażeń więcej.,I <color=#f5d6c1>Tentacoli</color> di Hastur infliggono <color=#f5d6c1>30</color> danni in più.,Dokunaçlar fazladan 30 hasar vurur.,Les <color=#f5d6c1>Tentacules</color> d'Hastur infligent <color=#f5d6c1>30</color> de dégâts supplémentaires.,Os <color=#f5d6c1>Tentáculos</color> de Hastur causam <color=#f5d6c1>30</color> de dano a mais.,Os <color=#f5d6c1>Tentáculos</color> de Hastur causam <color=#f5d6c1>30</color> de dano a mais.,하스타<color=#f5d6c1>터치</color>제작<color=#f5d6c1>30</color> 추가 피해를 입힌다.,Hastur <color=#f5d6c1>Csápjai</color> <color=#f5d6c1>30-al</color> többet sebeznek.
hastur_perk_frenzy_name,Hastur: Frenzy,ハスター：狂乱,哈斯塔：邪恶狂热,哈斯塔：邪惡狂熱,Хастур: Безумие,Hastur: Frenesí,Hastur: Frenesí,Hastur: Raserei,Hastur: Szał,Hastur: Frenesia,Hastur: Çılgınlık,Hastur : Frénésie,Hastur: Frenesi,Hastur: Frenesi,하스타: 사악의 광신,Hastur: Őrjöngés
hastur_perk_frenzy_description,Hastur's <color=#f5d6c1>Tentacles</color> attack twice as often.,ハスターの<color=#f5d6c1>触手</color>は攻撃速度が2倍になる。,哈斯塔<color=#f5d6c1>触手</color>攻击频率是原来的2倍。,哈斯塔<color=#f5d6c1>觸手</color>攻擊頻率是原來的2倍。,<color=#f5d6c1>Щупальца</color> Хастур атакуют вдвое чаще.,Los <color=#f5d6c1>Tentáculos</color> de Hastur atacan el doble de veces.,Los <color=#f5d6c1>Tentáculos</color> de Hastur atacan el doble de veces.,Hastur's <color=#f5d6c1>Tentakeln</color> greifen doppelt so schnell an.,<color=#f5d6c1>Macki</color> Hastura atakują dwa razy częściej.,I <color=#f5d6c1>Tentacoli</color> di Hastur attaccano due volte più spesso.,Dokunaçlar iki kat hızlı saldırır.,Les <color=#f5d6c1>Tentacules</color> d'Hastur attaquent deux fois plus souvent.,Os <color=#f5d6c1>Tentáculos</color> de Hastur atacam com o dobro de frequência.,Os <color=#f5d6c1>Tentáculos</color> de Hastur atacam com o dobro de frequência.,하스타<color=#f5d6c1>터치</color>공격주파수 2배,Hastur <color=#f5d6c1>Csápjai</color> kétszer többször támadnak.
map_forest_name,Forest,森,黑暗森林,黑暗森林,Лес,Bosque,Bosque,Wald,Las,Foresta,Orman,Forêt,Floresta,Floresta,암흑의 숲,Erdő
map_temple_name,Temple,寺院,神庙遗址,神廟遺址,Храм,Templo,Templo,Tempel,Świątynia,Tempio,Tapınak,Temple,Templo,Templo,신전 유적,Templom
menu_outline,Outline:,ふち取り：,轮廓线：,輪廓線：,Контур:,Contorno:,Contorno:,Umriss:,Kontur:,Contorno:,Outline:,Bordure,Contorno:,Contorno:,Outline:,Outline:
temple_unlock_condition,Survive 20 minutes once to unlock,一度20分間生き延びるとアンロック,在20分钟模式通关1次后解锁,需在20分鐘模式裡通關1次後解鎖,"Выживи 20 минут, чтобы разблокировать",Sobrevive 20 minutos una vez para desbloquearlo,Sobrevive 20 minutos una vez para desbloquearlo,Zum Freischalten ein Mal 20 Minuten überleben,Przetrwaj 20 minut przynajmniej raz by odblokować,Sopravvivi 20 minuti per sbloccare,Survive 20 minutes once to unlock,Survie 20 minute pour débloquer:,Sobreviva por 20 minutos ao menos uma vez para desbloquear,Sobreviva por 20 minutos ao menos uma vez para desbloquear,Survive 20 minutes once to unlock,Survive 20 minutes once to unlock
raven_name,Raven,レイヴン,瑞文,瑞文,Ворон,Raven,Raven,Rabe,Raven,Raven,Raven,Raven,Raven,Raven,Raven,Raven
raven_description,Summon a Crow that inflicts Curse. Curse deals damage equal to 200% of your bullet damage.,呪いをかけるカラスを召喚する。呪いは弾の2倍のダメージを与える。,召唤一只释放诅咒的乌鸦。诅咒造成的伤害等同于子弹伤害的 200%。,召喚一隻釋放詛咒的烏鴉。詛咒造成的傷害等同於子彈傷害的 200%。,"Призывает Ворона, который накладывает Проклятие. Проклятье наносит урон, равный 200% урона от снаряда.",Invoca un Cuervo que inflige Maldición. Maldición inflige daño igual al 200% del daño de tu bala.,Invoca un Cuervo que inflige Maldición. Maldición inflige daño igual al 200% del daño de tu bala.,"Beschwöre einen Raben, der einen Fluch auslöst. Der Fluch verursacht Schaden in Höhe von 200% deines Waffenschadens.","Przywołaj Kruka, który zaklina przeciwnika. Obrażenia od Klątwy są równe 200% twoich obrażeń pocisku.",Evoca un corvo che infligge una Maledizione. La Maledizione infligge danno uguale al 200% del tuo Danno Proiettile,Summon a Crow that inflicts Curse. Curse deals damage equal to 200% of your bullet damage.,Invoque un corbeau qui inflige malédiction. Malédiction fait 200% de vos dégat de balles aprés 2 secondes,Conjura um Corvo que inflige Maldição. A Maldição causa dano igual a 200% de seu dano do disparo.,Conjura um Corvo que inflige Maldição. A Maldição causa dano igual a 200% de seu dano do disparo.,Summon a Crow that inflicts Curse. Curse deals damage equal to 200% of your bullet damage.,Summon a Crow that inflicts Curse. Curse deals damage equal to 200% of your bullet damage.
raven_perk_flock_of_crows_name,Raven: Flock of Crows,レイヴン：カラスの群れ,瑞文：乌鸦群飞,瑞文：烏鴉群飛,Ворон: Стая,Raven: Bandada de Cuervos,Raven: Bandada de Cuervos,Rabe: Rabenschwarm,Raven: Chmara Kruków,Raven: Stormo di Corvi,Raven: Flock of Crows,Raven: essaim meurtrier,Raven: Bando de Corvos,Raven: Bando de Corvos,Raven: Flock of Crows,Raven: Flock of Crows
raven_perk_flock_of_crows_description,Summon another <color=#f5d6c1>Crow</color>. <color=#f5d6c1>Crows</color> deal damage equal to your Bullet Damage.,<color=#f5d6c1>カラス</color>をもう1匹召喚する。<color=#f5d6c1>カラス</color>は弾と同じダメージを与える。,召唤额外一只<color=#f5d6c1>乌鸦</color>。 <color=#f5d6c1>乌鸦</color>造成的伤害等于子弹伤害。,召喚額外一隻<color=#f5d6c1>烏鴉</color>。 <color=#f5d6c1>烏鴉</color>造成的傷害等於子彈傷害。,"Призывает еще одного <color=#f5d6c1>Ворона</color>. <color=#f5d6c1>Вороны</color> наносят урон, равный урону от снарядов.",Invoca a otro <color=#f5d6c1>Cuervo</color>. Los <color=#f5d6c1>Cuervos</color> infligen un daño igual al daño de bala.,Invoca a otro <color=#f5d6c1>Cuervo</color>. Los <color=#f5d6c1>Cuervos</color> infligen un daño igual al daño de bala.,"Beschwöre einen weiteren <color=#f5d6c1>Raben</color>. <color=#f5d6c1>Crows</color> ,welcher Schaden in Höhe deines Waffenschadens verursacht.",Przywołaj kolejnego <color=#f5d6c1>Kruka</color>. <color=#f5d6c1>Kruki</color> zadają obrażenia równe twoim Obrażeniom Pocisku.,Evoca un altro <color=#f5d6c1>Corvo</color>. I <color=#f5d6c1>Corvi</color> infliggono danno uguale al tuo Danno Proiettile.,Summon another <color=#f5d6c1>Crow</color>. <color=#f5d6c1>Crows</color> deal damage equal to your Bullet Damage.,invoque un deuxieme <color=#f5d6c1>Corbeau</color>. Les <color=#f5d6c1>Corbeaux</color> inflige vos dégat de balles en plus de la malédiction,Conjura outro <color=#f5d6c1>Corvo</color>. <color=#f5d6c1>Corvos</color> causam dano igual ao seu Dano do Disparo.,Conjura outro <color=#f5d6c1>Corvo</color>. <color=#f5d6c1>Corvos</color> causam dano igual ao seu Dano do Disparo.,Summon another <color=#f5d6c1>Crow</color>. <color=#f5d6c1>Crows</color> deal damage equal to your Bullet Damage.,Summon another <color=#f5d6c1>Crow</color>. <color=#f5d6c1>Crows</color> deal damage equal to your Bullet Damage.
raven_perk_shadow_flame_name,Raven: Shadow Flame,レイヴン：影の炎,瑞文：暗影烈焰,瑞文：暗影烈焰,Ворон: Пламя теней,Raven: Llama de las Sombras,Raven: Llama de las Sombras,Rabe: Schattenflamme,Raven: Ciemny Płomień,Raven: Ombrofiamma,Raven: Shadow Flame,Raven: sombre flame,Raven: Chama da Sombra,Raven: Chama da Sombra,Raven: Shadow Flame,Raven: Shadow Flame
raven_perk_shadow_flame_description,Inflicting <color=#f5d6c1>Curse</color> also inflicts <color=#f5d6c1>Burn</color> on enemies for <color=#f5d6c1>35%</color> of <color=#f5d6c1>Curse</color> damage.,<color=#f5d6c1>呪い</color>は<color=#f5d6c1>燃焼</color>も付与し、<color=#f5d6c1>呪い</color>の<color=#f5d6c1>35%</color>のダメージを与える。,释放 <color=#f5d6c1>诅咒</color> 同时<color=#f5d6c1>燃烧</color> 敌人，燃烧伤害等于<color=#f5d6c1>诅咒</color>的<color=#f5d6c1>35%</color>   。,釋放 <color=#f5d6c1>詛咒</color> 同時<color=#f5d6c1>燃燒</color> 敵人，燃燒傷害等於<color=#f5d6c1>詛咒</color>的<color=#f5d6c1>35%</color>   。,Наложив <color=#f5d6c1>Проклятие</color> также наложить <color=#f5d6c1>Поджег</color> на врага с <color=#f5d6c1>35%</color> от урона <color=#f5d6c1>Проклятия</ цвет>.,"Inflige <color=#f5d6c1>Maldición</color>, además inflige <color=#f5d6c1>Quemar</color> en enemigos por el <color=#f5d6c1>35%</color> del daño de <color=#f5d6c1>Maldición</color>.","Inflige <color=#f5d6c1>Maldición</color>, además inflige <color=#f5d6c1>Quemar</color> en enemigos por el <color=#f5d6c1>35%</color> del daño de <color=#f5d6c1>Maldición</color>.","<color=#f5d6c1>Flüche</color> die du verursachst, lösen einen <color=#f5d6c1>Brand</color> aus, welcher <color=#f5d6c1>35%</color> des <color=#f5d6c1>Fluch</color> Schadens verursacht.",<color=#f5d6c1>Klątwa</color> powoduje również <color=#f5d6c1>Podpalenie</color> przeciwników zadając <color=#f5d6c1>35%</color> obrażeń <color=#f5d6c1>Klątwy</color>.,Infliggere <color=#f5d6c1>Maledizione</color> infligge anche <color=#f5d6c1>Bruciatura</color> ai nemici per il <color=#f5d6c1>35%</color> del danno da <color=#f5d6c1>Maledizione</color>.,Inflicting <color=#f5d6c1>Curse</color> also inflicts <color=#f5d6c1>Burn</color> on enemies for <color=#f5d6c1>35%</color> of <color=#f5d6c1>Curse</color> damage.,infliger <color=#f5d6c1>Malédiction</color> brule les ennemis pour <color=#f5d6c1>35%</color> des degat de <color=#f5d6c1>Malédiction</color>,Infligir a <color=#f5d6c1>Maldição</color> também infligirá a <color=#f5d6c1>Queimação</color> nos inimigos por <color=#f5d6c1>35%</color> do dano da <color=#f5d6c1>Maldição</color>.,Infligir a <color=#f5d6c1>Maldição</color> também infligirá a <color=#f5d6c1>Queimação</color> nos inimigos por <color=#f5d6c1>35%</color> do dano da <color=#f5d6c1>Maldição</color>.,Inflicting <color=#f5d6c1>Curse</color> also inflicts <color=#f5d6c1>Burn</color> on enemies for <color=#f5d6c1>35%</color> of <color=#f5d6c1>Curse</color> damage.,Inflicting <color=#f5d6c1>Curse</color> also inflicts <color=#f5d6c1>Burn</color> on enemies for <color=#f5d6c1>35%</color> of <color=#f5d6c1>Curse</color> damage.
raven_perk_shadow_affinity_name,Raven: Shadow Affinity,レイヴン：影の覚醒,瑞文：暗影相随,瑞文：暗影相隨,Ворон: Родство теней,Raven: Afinidad con las Sombras,Raven: Afinidad con las Sombras,Rabe: Schattenaffinität,Raven: Pokrewieństwo Cienia,Raven: Affinità Oscura,Raven: Shadow Affinity,Raven: affinité pour les ombres,Raven: Afinidade da Sombra,Raven: Afinidade da Sombra,Raven: Shadow Affinity,Raven: Shadow Affinity
raven_perk_shadow_affinity_description,<color=#f5d6c1>Curse</color> damage <color=#f5d6c1>+75%</color>,<color=#f5d6c1>呪い</color>のダメージに<color=#f5d6c1>+75%</color>,<color=#f5d6c1>诅咒</color>伤害<color=#f5d6c1>+75%</color>,<color=#f5d6c1>詛咒</color>傷害<color=#f5d6c1>+75%</color>,<color=#f5d6c1>+75%</color> к урону от <color=#f5d6c1>Проклятия</color>,Daño de <color=#f5d6c1>Maldición</color> <color=#f5d6c1>+75%</color>,Daño de <color=#f5d6c1>Maldición</color> <color=#f5d6c1>+75%</color>,<color=#f5d6c1>Fluch</color> Schaden <color=#f5d6c1>+75%</color>,<color=#f5d6c1>Klątwa</color> zadaje <color=#f5d6c1>+75%</color> obrażeń.,Danno da <color=#f5d6c1>Maledizione</color> <color=#f5d6c1>+75%</color>,<color=#f5d6c1>Curse</color> damage <color=#f5d6c1>+75%</color>,dégat de <color=#f5d6c1>Malédiction +75%</color>,Dano da <color=#f5d6c1>Maldição</color> é aumentado em <color=#f5d6c1>+75%</color>,Dano da <color=#f5d6c1>Maldição</color> é aumentado em <color=#f5d6c1>+75%</color>,<color=#f5d6c1>Curse</color> damage <color=#f5d6c1>+75%</color>,<color=#f5d6c1>Curse</color> damage <color=#f5d6c1>+75%</color>
map_pumpkin_patch_name,Pumpkin Patch,パンプキン畑,南瓜乐园,南瓜樂園,Тыквенный Патч,Huerto de Calabazas,Huerto de Calabazas,Kürbisfeld,Pole Dyniowe,Campo di Zucche,Pumpkin Patch,Champ de Citrouilles,Trecho da Abóbora,Trecho da Abóbora,Pumpkin Patch,Pumpkin Patch
dodge_label,Dodge,回避,闪避,閃避,Уклон,Esquivar,Esquivar,Ausweichen,Unik,Schivato,Dodge,Esquive,Desviar,Desviar,Dodge,Dodge
evasive_name,Evasive,見切り,闪避几率,閃避機率,Неуловимый,Evasivo,Evasivo,ausweichend,Nieuchwytna,Evasivo,Evasive,évasion,Evasão,Evasão,Evasive,Evasive
nimble_name,Nimble,俊敏,敏捷之术,敏捷之術,Шустрый,Ágil,Ágil,wendig,Zwinność,Agile,Nimble,souple,Ágil,Ágil,Nimble,Nimble
tiny_name,Tiny,小人,薄技在身,薄技在身,Кроха,Diminuto,Diminuto,winzig,Malutka,Piccolo,Tiny,petit,Minúsculo,Minúsculo,Tiny,Tiny
reflex_name,Reflex,反射,反射之术,反射之術,Рефлекс,Reflejo,Reflejo,Reflex,Refleks,Riflessi,Reflex,Réflexes,Reflexo,Reflexo,Reflex,Reflex
reflex_description,Your <color=#f5d6c1>Dodge</color> chance is increased by bonuses to your <color=#f5d6c1>Move Speed</color>.,<color=#f5d6c1>移動速度</color>ボーナスにより<color=#f5d6c1>回避</color>の確率が上昇。,你的<color=#f5d6c1>闪避</color>几率会因<color=#f5d6c1>移动速度</color>的增加而增加。,你的<color=#f5d6c1>閃避</color>機率會因<color=#f5d6c1>移動速度</color>的增加而增加。,Шанс <color=#f5d6c1>Уклона</color> увеличивается за счет бонусов <color=#f5d6c1>скорости бега</color>.,Tu probabilidad de <color=#f5d6c1>Esquivar</color> aumenta con las bonificaciones a tu <color=#f5d6c1>Vel. de Movimiento</color>.,Tu probabilidad de <color=#f5d6c1>Esquivar</color> aumenta con las bonificaciones a tu <color=#f5d6c1>Vel. de Movimiento</color>.,Deine <color=#f5d6c1>Ausweichchance</color> wird durch Boni auf deine <color=#f5d6c1>Bewegungsgeschwindigkeit</color> erhöht.,Twoja szansa na <color=#f5d6c1>Unik</color> jest zwiększona o bonusy do twojej <color=#f5d6c1>Prędkości Ruchu</color>.,La tua probabilitá di <color=#f5d6c1>Schivare</color> é aumentata dai bonus alla tua  <color=#f5d6c1>Velocitá di movimento</color>.,Your <color=#f5d6c1>Dodge</color> chance is increased by bonuses to your <color=#f5d6c1>Move Speed</color>.,la chance d'<color=#f5d6c1>ésquive</color> est augmenté par vos bonus de <color=#f5d6c1>Vitesse</color>,A sua chance de <color=#f5d6c1>Desviar</color> é aumentada pelos bônus de sua <color=#f5d6c1>Velocidade de Movimento</color>.,A sua chance de <color=#f5d6c1>Desviar</color> é aumentada pelos bônus de sua <color=#f5d6c1>Velocidade de Movimento</color>.,Your <color=#f5d6c1>Dodge</color> chance is increased by bonuses to your <color=#f5d6c1>Move Speed</color>.,Your <color=#f5d6c1>Dodge</color> chance is increased by bonuses to your <color=#f5d6c1>Move Speed</color>.
aero_magic_name,Aero Magic,風魔法,疾风之术,疾風之術,Маг воздуха,Aero Magia,Aero Magia,Aeromagie,Magia Powietrza,Magia dell'Aria,Aero Magic,Magie aero,Magia Aérea,Magia Aérea,Aero Magic,Aero Magic
